,Rank1,Superkingdom,Phylum,Class,Order,Family,Genus,Species_group,Species
sv-0130,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus,Mobiluncus curtisii
sv-0092,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus,Mobiluncus mulieris
sv-0259,Root,Bacteria,Firmicutes,Tissierellia/Clostridia,Tissierellales/Clostridiales,Peptoniphilaceae,Murdochiella/Levyella,Murdochiella/Levyella,Murdochiella asaccharolytica/Levyella massiliensis
sv-0411,Root,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma,Mycoplasma
sv-0118,Root,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma,Mycoplasma hominis
sv-0512,Root,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseriaceae,Neisseriaceae,Neisseriaceae
sv-0045,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas,Parvimonas micra
sv-0329,Root,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus,Peptococcus niger
sv-0106,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus
sv-0158,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus coxii
sv-0036,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus grossensis/harei
sv-0149,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus harei
sv-0151,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus koenoeneniae
sv-0062,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus lacrimalis
sv-0270,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus obesi
sv-0246,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus rhinitidis
sv-0226,Root,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus,Peptostreptococcus
sv-0067,Root,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus,Peptostreptococcus anaerobius
sv-0176,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas,Porphyromonas
sv-0154,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas,Porphyromonas asaccharolytica
sv-0083,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas,Porphyromonas sp. type 1
sv-0058,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas,Porphyromonas uenonis
sv-0114,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella
sv-0030,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella amnii
sv-0098,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella bivia
sv-0122,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella buccalis
sv-0167,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella colorans
sv-0146,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella corporis
sv-0065,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella disiens
sv-0066,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella genogroup 4
sv-0073,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella jejuni/melaninogenica
sv-0048,Root,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella timonensis
sv-0135,Root,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia,Sneathia
sv-0018,Root,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia,Sneathia amnii
sv-0023,Root,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia,Sneathia sanguinegens
sv-0086,Root,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus capitis/epidermidis/hominis
sv-0408,Root,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus haemolyticus
sv-0353,Root,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus lugdunensis
sv-0897,Root,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus pasteuri/warneri
sv-0050,Root,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus agalactiae
sv-0077,Root,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus group,Streptococcus anginosus
sv-0116,Root,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus gallolyticus
sv-0055,Root,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis group,Streptococcus mitis group
sv-0072,Root,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus salivarius
sv-0222,Root,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella,Sutterella
sv-0391,Root,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella,Sutterella wadsworthensis
sv-0099,Root,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma,Ureaplasma
sv-0095,Root,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma,Ureaplasma parvum/urealyticum
sv-0209,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum,Varibaculum anthropi
sv-0064,Root,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella montpellierensis
